device_id,user_id,device_type,first_seen_ts
1,4699,android,2025-07-04 13:04:40.356488
2,3651,web,2025-01-03 03:25:41.361528
3,2920,android,2025-05-20 07:09:57.544381
4,2258,ios,2025-01-03 11:47:20.954310
5,2601,ios,2025-01-27 12:49:26.950041
6,3900,android,2025-08-29 03:28:11.210623
7,1369,android,2025-04-22 01:21:33.368889
8,4143,ios,2025-01-07 14:41:44.621923
9,1409,android,2025-07-26 15:02:03.380743
10,709,android,2025-08-11 21:57:18.182670
11,3685,web,2025-05-14 06:10:19.995428
12,3542,ios,2025-06-21 13:03:15.624742
13,1674,web,2025-07-09 13:39:59.292762
14,3244,ios,2025-06-28 12:36:20.694603
15,3644,ios,2025-05-01 04:03:10.844131
16,3940,ios,2025-07-22 08:12:56.339418
17,4764,ios,2025-05-09 03:22:47.760183
18,4272,ios,2025-03-05 01:25:22.995231
19,2197,ios,2025-01-01 23:43:09.889669
20,1152,android,2025-03-29 03:17:47.182421
21,487,ios,2025-01-21 01:38:22.689014
22,2870,android,2025-01-16 09:01:41.064530
23,3333,web,2025-04-25 00:30:56.585268
24,3455,ios,2025-08-18 07:30:33.116567
25,48,ios,2025-01-26 15:21:36.519884
26,3507,android,2025-03-08 12:30:35.999933
27,3936,android,2025-07-21 17:00:56.986229
28,3609,android,2025-04-08 15:28:13.791053
29,2629,ios,2025-07-04 09:20:36.098071
30,76,ios,2025-05-12 18:53:37.741018
31,2449,android,2025-05-27 18:07:38.699498
32,3224,android,2025-02-09 03:47:17.150463
33,2848,android,2025-03-27 14:30:35.369251
34,2873,android,2025-06-01 02:04:39.818832
35,2583,ios,2025-01-07 12:06:43.640601
36,2761,ios,2025-02-15 18:19:12.842298
37,1619,ios,2025-04-04 22:02:11.609160
38,3025,android,2025-06-13 22:14:08.310330
39,1408,android,2025-05-04 19:55:18.480717
40,2458,web,2025-06-24 15:38:44.873324
41,2077,web,2025-06-26 15:03:34.014979
42,3572,android,2025-01-08 13:06:40.443535
43,4475,ios,2025-08-08 02:47:12.458964
44,3167,android,2025-07-20 06:49:21.962269
45,677,android,2025-03-07 20:52:13.578218
46,3338,web,2025-04-28 17:44:57.604555
47,1624,web,2025-03-16 21:07:49.862556
48,248,web,2025-08-09 07:32:13.459576
49,962,android,2025-04-04 00:36:01.291173
50,4997,android,2025-04-07 05:46:54.733468
51,2136,ios,2025-08-10 14:16:15.609307
52,1009,ios,2025-05-26 23:14:48.457039
53,668,android,2025-02-03 12:03:20.166902
54,3252,android,2025-06-02 02:55:48.782151
55,3804,android,2025-07-13 01:13:09.271495
56,1766,ios,2025-03-24 02:17:22.868220
57,518,ios,2025-05-09 01:29:46.887921
58,1774,android,2025-06-02 07:44:23.797410
59,3327,android,2025-05-05 00:45:01.016027
60,570,android,2025-08-31 18:53:38.901210
61,1339,ios,2025-05-04 03:36:57.182862
62,11,android,2025-06-06 08:09:04.646593
63,2361,android,2025-07-12 20:12:48.938502
64,853,ios,2025-02-03 04:33:11.274516
65,1000,android,2025-01-11 16:05:05.950050
66,566,ios,2025-08-25 10:28:36.682581
67,3652,ios,2025-06-27 22:32:07.300862
68,2448,android,2025-04-06 13:37:13.732524
69,4742,ios,2025-01-05 07:02:39.900415
70,1976,ios,2025-02-10 10:26:35.001548
71,1109,ios,2025-01-03 08:50:56.856937
72,1021,ios,2025-04-07 08:08:19.596506
73,4766,android,2025-05-15 19:54:58.731351
74,2949,android,2025-02-09 00:31:16.423628
75,1627,android,2025-06-05 11:38:52.188819
76,3271,android,2025-08-20 21:08:05.945036
77,2790,android,2025-08-29 16:18:25.539418
78,574,android,2025-07-22 11:01:35.862617
79,3508,ios,2025-04-18 20:43:51.431353
80,596,android,2025-05-14 00:29:29.374516
81,997,web,2025-05-03 07:17:10.629626
82,3567,ios,2025-02-07 19:50:54.033957
83,2224,android,2025-07-27 14:56:36.403512
84,1111,ios,2025-06-14 05:12:45.878971
85,340,android,2025-06-05 00:26:25.849010
86,2969,web,2025-02-23 12:58:16.945458
