transaction_id,user_id,device_id,txn_ts,amount,merchant_category
1,3507,7017,2025-04-29 06:09:56.713948,411.08,groceries
2,3194,7078,2025-06-04 21:29:50.401942,1053.58,electronics
3,1126,5726,2025-02-03 15:42:19.477831,1149.18,groceries
4,330,5472,2025-04-21 20:36:33.919541,248.64,groceries
5,3111,1225,2025-03-25 19:33:29.944601,155.98,groceries
6,4645,3095,2025-06-25 16:18:17.726046,250.29,bill_payment
7,1753,1446,2025-01-16 13:22:41.939766,330.16,electronics
8,4239,809,2025-03-20 09:19:37.317695,1217.51,wallet_topup
9,4235,8064,2025-03-11 15:17:18.480287,159.21,food_delivery
10,3745,1160,2025-07-28 15:02:16.212322,149.69,groceries
11,3150,739,2025-04-13 14:21:51.214736,392.21,entertainment
12,894,2679,2025-01-04 14:49:22.440331,276.56,ride_hailing
13,1226,6028,2025-02-19 16:37:30.991399,872.75,entertainment
14,1973,2417,2025-03-15 22:29:36.478316,280.52,entertainment
15,1164,2220,2025-01-11 09:57:41.401155,896.08,electronics
16,4026,4745,2025-03-27 11:19:31.939843,262.41,electronics
17,160,197,2025-01-26 15:55:01.620767,343.99,electronics
18,1221,192,2025-08-12 03:12:54.376259,236.76,wallet_topup
19,1845,6528,2025-04-29 20:01:53.775125,102.67,bill_payment
20,3812,4054,2025-05-06 17:08:29.731146,443.74,bill_payment
21,4310,3280,2025-08-02 23:10:40.309581,103.22,food_delivery
22,2499,1922,2025-05-02 07:49:39.540816,47.61,ride_hailing
23,1804,127,2025-05-04 12:39:40.774162,406.48,electronics
24,3450,6862,2025-03-21 01:32:47.885928,218.28,food_delivery
25,3885,5638,2025-07-28 10:01:45.362131,183.02,bill_payment
26,4894,2075,2025-04-11 05:14:47.598338,430.09,ride_hailing
27,4839,4563,2025-06-28 01:35:34.245747,600.88,food_delivery
28,4383,488,2025-02-08 13:17:19.211227,244.68,entertainment
29,3475,1761,2025-02-16 14:57:24.115127,407.94,entertainment
30,2100,5846,2025-02-09 05:43:29.150072,633.59,ride_hailing
31,819,967,2025-08-05 23:45:48.927525,311.06,entertainment
32,677,6427,2025-06-21 17:47:48.684919,466.07,ride_hailing
33,795,4884,2025-04-27 13:52:50.774809,249.97,ride_hailing
34,4112,898,2025-07-19 10:57:37.608748,115.05,groceries
35,1012,929,2025-03-30 12:24:47.326559,1326.58,wallet_topup
36,3586,7795,2025-03-28 02:25:55.758023,235.49,entertainment
37,4613,5601,2025-07-14 23:58:45.878026,148.68,food_delivery
38,4623,816,2025-03-31 17:09:17.645237,185.88,food_delivery
39,4051,6704,2025-02-12 04:42:32.160001,301.08,ride_hailing
40,2087,7369,2025-06-02 16:53:51.278615,238.63,electronics
41,4072,2741,2025-05-19 14:01:47.708057,245.35,wallet_topup
42,1964,7692,2025-04-09 06:34:13.397593,176.01,groceries
43,417,6573,2025-04-13 12:41:33.267180,270.55,ride_hailing
44,3661,7130,2025-08-28 14:07:49.107341,377.06,electronics
45,4949,6413,2025-05-22 00:25:52.368657,327.27,bill_payment
46,1675,1079,2025-06-12 23:43:49.949568,260.23,food_delivery
47,2400,6862,2025-03-28 23:43:28.905014,217.86,bill_payment
48,1750,1165,2025-08-31 04:44:18.604022,332.9,wallet_topup
49,2145,1125,2025-08-10 19:10:03.813908,567.82,entertainment
50,101,1314,2025-05-01 03:27:27.933682,196.74,wallet_topup
51,2028,7141,2025-02-20 12:46:15.291608,204.03,food_delivery
52,3356,5835,2025-02-10 14:03:07.137102,188.86,ride_hailing
53,2822,3158,2025-06-13 15:26:51.296960,764.69,ride_hailing
54,4479,1180,2025-08-31 06:17:56.900548,380.47,bill_payment
55,4459,4738,2025-08-27 00:12:33.498071,353.15,entertainment
56,4867,7441,2025-02-17 20:23:57.000962,437.99,groceries
57,2798,4263,2025-03-29 01:28:22.844899,336.6,electronics
58,1330,6783,2025-01-18 03:01:45.374555,405.03,groceries
59,849,1699,2025-08-22 00:11:54.064484,167.28,bill_payment
60,2189,6582,2025-05-24 11:22:09.218467,123.74,entertainment
61,2272,2521,2025-03-09 15:28:07.104490,343.29,entertainment
62,316,6950,2025-07-24 00:45:33.441428,497.93,ride_hailing
63,3444,4615,2025-05-29 07:11:04.410596,56.34,bill_payment
64,824,1242,2025-03-13 03:05:13.829122,93.11,ride_hailing
