user_id,signup_date,home_city,age_bracket,home_country
1,2024-10-10,Manila,25-34,TH
2,2024-06-10,Jakarta,35-44,PH
3,2024-11-10,Ho Chi Minh City,18-24,SG
4,2024-09-12,Singapore,25-34,MY
5,2024-02-05,Jakarta,25-34,PH
6,2024-12-23,Kuala Lumpur,35-44,MM
7,2024-10-05,Singapore,55+,MY
8,2024-10-14,Mumbai,45-54,ID
9,2024-02-17,Yangon,35-44,ID
10,2024-06-14,Bengaluru,25-34,IN
11,2024-05-16,Singapore,35-44,MY
12,2024-12-05,Bangkok,25-34,VN
13,2024-08-24,Singapore,18-24,MY
14,2024-10-28,Kuala Lumpur,35-44,MM
15,2024-06-11,Singapore,35-44,MY
16,2024-03-24,Singapore,25-34,MY
17,2024-07-22,Hanoi,45-54,IN
18,2024-01-25,Kuala Lumpur,35-44,MM
19,2024-10-30,Hanoi,25-34,IN
20,2024-08-19,Bangkok,18-24,VN
21,2024-10-04,Jakarta,18-24,PH
22,2024-05-10,Jakarta,25-34,PH
23,2024-12-21,Singapore,25-34,MY
24,2024-11-22,Ho Chi Minh City,18-24,SG
25,2024-10-12,Bengaluru,18-24,IN
26,2024-03-13,Jakarta,25-34,PH
27,2024-06-20,Yangon,35-44,ID
28,2024-01-17,Kuala Lumpur,35-44,MM
29,2024-02-27,Kuala Lumpur,25-34,MM
30,2024-09-07,Mumbai,18-24,ID
31,2024-09-29,Bengaluru,18-24,IN
32,2024-12-20,Jakarta,18-24,PH
33,2024-04-29,Hanoi,25-34,IN
34,2024-05-16,Ho Chi Minh City,18-24,SG
35,2024-06-21,Kuala Lumpur,25-34,MM
36,2024-03-11,Bangkok,55+,VN
37,2024-02-18,Bangkok,25-34,VN
38,2024-06-23,Singapore,35-44,MY
39,2024-03-24,Yangon,18-24,ID
40,2024-09-02,Bangkok,25-34,VN
41,2024-06-09,Ho Chi Minh City,45-54,SG
42,2024-10-31,Yangon,25-34,ID
43,2024-09-13,Manila,35-44,TH
44,2024-04-25,Hanoi,55+,IN
45,2024-10-31,Ho Chi Minh City,25-34,SG
46,2024-10-21,Hanoi,25-34,IN
47,2024-05-22,Bangkok,25-34,VN
48,2024-04-16,Singapore,18-24,MY
49,2024-09-07,Manila,18-24,TH
50,2024-02-22,Singapore,18-24,MY
51,2024-03-14,Manila,45-54,TH
52,2024-01-04,Singapore,35-44,MY
53,2024-10-15,Kuala Lumpur,25-34,MM
54,2024-08-31,Bangkok,25-34,VN
55,2024-09-15,Bangkok,35-44,VN
56,2024-10-12,Manila,45-54,TH
57,2024-06-17,Kuala Lumpur,25-34,MM
58,2024-07-27,Ho Chi Minh City,25-34,SG
59,2024-02-22,Ho Chi Minh City,45-54,SG
60,2024-02-12,Bengaluru,45-54,IN
61,2024-09-01,Mumbai,45-54,ID
62,2024-06-21,Bengaluru,25-34,IN
63,2024-07-26,Hanoi,18-24,IN
64,2024-10-07,Hanoi,25-34,IN
65,2024-08-20,Bengaluru,25-34,IN
66,2024-07-22,Bengaluru,45-54,IN
67,2024-07-24,Kuala Lumpur,18-24,MM
68,2024-04-21,Ho Chi Minh City,35-44,SG
69,2024-01-13,Manila,45-54,TH
70,2024-06-09,Singapore,55+,MY
71,2024-03-20,Jakarta,35-44,PH
72,2024-05-30,Mumbai,45-54,ID
73,2024-11-08,Manila,18-24,TH
74,2024-03-27,Hanoi,25-34,IN
75,2024-01-23,Kuala Lumpur,18-24,MM
76,2024-04-13,Mumbai,55+,ID
77,2024-04-18,Ho Chi Minh City,45-54,SG
78,2024-08-30,Hanoi,18-24,IN
79,2024-07-23,Yangon,18-24,ID
80,2024-10-14,Kuala Lumpur,25-34,MM
81,2024-08-31,Mumbai,25-34,ID
82,2024-05-29,Jakarta,45-54,PH
83,2024-10-25,Jakarta,18-24,PH
84,2024-03-02,Mumbai,35-44,ID
85,2024-01-10,Mumbai,25-34,ID
86,2024-02-03,Manila,25-34,TH
87,2024-09-21,Ho Chi Minh City,18-24,SG
88,2024-06-18,Manila,55+,TH
89,2024-02-29,Bangkok,35-44,VN
90,2024-07-02,Jakarta,25-34,PH
91,2024-02-26,Mumbai,25-34,ID
92,2024-09-12,Yangon,45-54,ID
93,2024-06-12,Ho Chi Minh City,35-44,SG
94,2024-05-20,Jakarta,35-44,PH
95,2024-04-21,Hanoi,35-44,IN
96,2024-08-19,Hanoi,45-54,IN
97,2024-05-13,Yangon,25-34,ID
98,2024-02-02,Mumbai,35-44,ID
99,2024-02-14,Singapore,25-34,MY
100,2024-12-18,Yangon,25-34,ID
101,2024-11-28,Hanoi,55+,IN
102,2024-09-13,Jakarta,55+,PH
103,2024-04-08,Hanoi,25-34,IN
104,2024-12-20,Bangkok,25-34,VN
105,2024-10-12,Bangkok,45-54,VN
106,2024-09-19,Ho Chi Minh City,55+,SG
107,2024-06-14,Kuala Lumpur,35-44,MM
108,2024-04-10,Mumbai,18-24,ID
109,2024-02-06,Ho Chi Minh City,25-34,SG
110,2024-11-26,Hanoi,45-54,IN
111,2024-06-16,Ho Chi Minh City,35-44,SG
112,2024-03-15,Jakarta,35-44,PH
113,2024-04-22,Bengaluru,35-44,IN
114,2024-07-31,Ho Chi Minh City,25-34,SG
115,2024-03-06,Kuala Lumpur,25-34,MM
116,2024-11-09,Ho Chi Minh City,35-44,SG
117,2024-10-04,Yangon,25-34,ID
118,2024-09-20,Singapore,35-44,MY
119,2024-06-07,Ho Chi Minh City,35-44,SG
120,2024-08-17,Bengaluru,45-54,IN
121,2024-08-02,Ho Chi Minh City,25-34,SG
122,2024-08-26,Mumbai,35-44,ID
123,2024-02-01,Kuala Lumpur,18-24,MM
124,2024-06-01,Mumbai,18-24,ID
125,2024-01-17,Yangon,25-34,ID
